country;lat;lon;date;#affected+infected+value+num;#country+code;#region+main+code;#region+sub+code;#region+intermediate+code;
Algeria;280.339;16.596;10/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;09/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;08/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;07/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;06/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;05/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;04/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;03/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;02/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;01/02/2020;0;DZA;2;15;;
Algeria;280.339;16.596;31/01/2020;0;DZA;2;15;;
Algeria;280.339;16.596;30/01/2020;0;DZA;2;15;;
Algeria;280.339;16.596;29/01/2020;0;DZA;2;15;;
Algeria;280.339;16.596;28/01/2020;0;DZA;2;15;;
Algeria;280.339;16.596;27/01/2020;0;DZA;2;15;;
Algeria;280.339;16.596;26/01/2020;0;DZA;2;15;;
Algeria;280.339;16.596;25/01/2020;0;DZA;2;15;;
Algeria;280.339;16.596;24/01/2020;0;DZA;2;15;;
Algeria;280.339;16.596;23/01/2020;0;DZA;2;15;;
Algeria;280.339;16.596;22/01/2020;0;DZA;2;15;;
Andorra;425.063;15.218;30/05/2020;692;AND;150;39;;
Andorra;425.063;15.218;29/05/2020;684;AND;150;39;;
Andorra;425.063;15.218;28/05/2020;681;AND;150;39;;
Andorra;425.063;15.218;27/05/2020;676;AND;150;39;;
Andorra;425.063;15.218;26/05/2020;676;AND;150;39;;
Andorra;425.063;15.218;25/05/2020;663;AND;150;39;;
Andorra;425.063;15.218;24/05/2020;653;AND;150;39;;
Andorra;425.063;15.218;23/05/2020;653;AND;150;39;;
Andorra;425.063;15.218;22/05/2020;652;AND;150;39;;
Andorra;425.063;15.218;21/05/2020;639;AND;150;39;;
Andorra;425.063;15.218;20/05/2020;639;AND;150;39;;
Andorra;425.063;15.218;19/05/2020;628;AND;150;39;;
Andorra;425.063;15.218;18/05/2020;624;AND;150;39;;
Andorra;425.063;15.218;17/05/2020;617;AND;150;39;;
Andorra;425.063;15.218;16/05/2020;615;AND;150;39;;
Andorra;425.063;15.218;15/05/2020;604;AND;150;39;;
Andorra;425.063;15.218;14/05/2020;596;AND;150;39;;
Andorra;425.063;15.218;13/05/2020;576;AND;150;39;;
Andorra;425.063;15.218;12/05/2020;568;AND;150;39;;
Andorra;425.063;15.218;11/05/2020;550;AND;150;39;;
Andorra;425.063;15.218;10/05/2020;550;AND;150;39;;
Andorra;425.063;15.218;09/05/2020;545;AND;150;39;;
Andorra;425.063;15.218;08/05/2020;537;AND;150;39;;
Andorra;425.063;15.218;07/05/2020;526;AND;150;39;;
Andorra;425.063;15.218;06/05/2020;521;AND;150;39;;
Andorra;425.063;15.218;05/05/2020;514;AND;150;39;;
Andorra;425.063;15.218;04/05/2020;499;AND;150;39;;
Andorra;425.063;15.218;03/05/2020;493;AND;150;39;;
Andorra;425.063;15.218;02/05/2020;472;AND;150;39;;
Andorra;425.063;15.218;01/05/2020;468;AND;150;39;;
Andorra;425.063;15.218;30/04/2020;468;AND;150;39;;
Andorra;425.063;15.218;29/04/2020;423;AND;150;39;;
Andorra;425.063;15.218;28/04/2020;398;AND;150;39;;
